@0	0010
@127	080c
@128	020b
@129	0801
@12a	0601
@12b	0b0c
@12c	0006
@12d	0708
@12e	060b
@12f	0900
@130	0902
@131	090a
@132	0704
@133	0304
@134	0606
@135	090b
@136	0601
@137	0a0a
@138	0105
@139	0a07
@13a	0405
@13b	0000
@13c	0009
@13d	0806
@13e	030b
@13f	020c
@140	0805
@141	0406
@142	0b05
@143	0006
@144	0101
@145	0a07
@146	0606
@147	0902
@148	0b0b
@149	0c05
@14a	0808
@14b	0504
@14c	0809
@14d	0107
@14e	080c
@14f	0c07
@150	0402
@151	000c
@152	0200
@153	0803
@154	0203
@155	040a
@156	0801
@157	0201
@158	0809
@159	070a
@15a	0b02
@15b	080c
@15c	0808
@15d	0902
@15e	040b
@15f	0208
@160	0309
@161	0c08
@162	0b09
@163	0802
@164	0a04
@165	0406
@166	0906
@167	0606
@168	030c
@169	0209
@16a	0a0c
@16b	0c07
@16c	060c
@16d	0609
@16e	0007
@16f	0c09
@170	0009
@171	0b02
@172	0004
@173	030c
@174	0a03
@175	0001
@176	0b0b
@177	0c0c
@178	0908
@179	0b06
@17a	0106
@17b	0601
@17c	090a
@17d	0006
@17e	0808
@17f	0b00
@180	0707
@181	070c
@182	0a03
@183	0608
@184	0804
@185	0902
@186	080a
@187	0402
@188	050a
@189	060b
@18a	0c02
@18b	0a04
@18c	0a05
@18d	020c
@18e	0707
@18f	0a00
@190	0200
@191	0801
@192	0301
@193	0901
@194	0801
@195	000a
@196	0a0a
@197	0104
@198	0a05
@199	060b
@19a	000c
@19b	050a
@19c	0609
@19d	0202
@19e	020a
@19f	0003
@1a0	0701
@1a1	0807
@1a2	0402
@1a3	0a0c
@1a4	050a
@1a5	0c0a
@1a6	0a01
@1a7	0208
@1a8	0b02
@1a9	0309
@1aa	0a04
@1ab	0b01
@1ac	080b
@1ad	0207
@1ae	020c
@1af	070b
@1b0	0b01
@1b1	0a00
@1b2	0301
@1b3	0907
@1b4	060c
@1b5	010c
@1b6	0100
@1b7	0908
@1b8	0605
@1b9	000a
@1ba	0303
@1bb	000c
@1bc	0207
@1bd	0105
@1be	010c
@1bf	0b01
@1c0	0608
@1c1	0609
@1c2	0303
@1c3	0407
@1c4	0609
@1c5	0007
@1c6	0b0c
@1c7	0406
@1c8	0004
@1c9	0704
@1ca	010b
@1cb	0603
@1cc	0800
@1cd	070a
@1ce	0a08
@1cf	0804
@1d0	0207
@1d1	0601
@1d2	0c08
@1d3	0502
@1d4	0900
@1d5	0909
@1d6	0008
@1d7	0b02
@1d8	0903
@1d9	0100
@1da	0b0c
@1db	0808
@1dc	0907
@1dd	0002
@1de	0705
@1df	070a
@1e0	0b09
@1e1	090c
@1e2	0a02
@1e3	060c
@1e4	0402
@1e5	0708
@1e6	060c
@1e7	0507
@1e8	0908
@1e9	0807
@1ea	0608
@1eb	000c
@1ec	0709
@1ed	0a0b
@1ee	0902
@1ef	0906
@1f0	0905
@1f1	080a
@1f2	0200
@1f3	0c07
@1f4	050b
@1f5	0609
@1f6	0905
@1f7	0909
@1f8	0703
@1f9	0b0c
@1fa	0c06
@1fb	090c
@1fc	080c
@1fd	0603
@1fe	080c
@1ff	0c04
@200	0105
@201	0502
@202	0a03
@203	0902
@204	0103
@205	040b
@206	0207
@207	0a03
@208	0a03
@209	0600
@20a	050b
@20b	0307
@20c	0303
@20d	0003
@20e	0900
@20f	0409
@210	0c06
@211	0600
@212	0b05
@213	020b
@214	0c03
@215	0608
@216	0309
@217	0302
@218	0102
@219	0806
@21a	050b
@21b	0509
@21c	0704
@21d	0601
@21e	0a02
@21f	0c07
@220	0c00
@221	0607
@222	0307
@223	0106
@224	0806
@225	0706
@226	090c
@227	090a
@228	0a0c
@229	0905
@22a	090b
@22b	0906
@22c	030a
@22d	0a08
@22e	0c05
@22f	0702
@230	0401
@231	0408
@232	0601
@233	0004
@234	0305
@235	0505
@236	0208
@237	0009
@238	0c08
@239	0301
@23a	0503
@23b	0104
@23c	0a03
@23d	0907
@23e	0306
@23f	0805
@240	040c
@241	0100
@242	0b00
@243	0a0a
@244	0b04
@245	0403
@246	0208
@247	0606
@248	0b01
@249	090a
@24a	0007
@24b	040c
@24c	0602
@24d	0400
@24e	0505
@24f	0209
@250	0c07
@251	050c
@252	0107
@253	0305
@254	0200
@255	0907
@256	0a04
@257	0b04
@258	0605
@259	0900
@25a	0801
@25b	020b
@25c	070b
@25d	0702
@25e	0909
@25f	0208
@260	090b
@261	090a
@262	0602
@263	0805
@264	0505
@265	0702
@266	0407
@267	0b04
@268	0201
@269	0704
@26a	030c
@26b	060a
@26c	0002
@26d	0908
@26e	0604
@26f	040a
@270	0707
@271	010a
@272	000b
@273	0305
@274	000a
@275	0203
@276	0608
@277	0b00
@278	0c07
@279	0202
@27a	0b0c
@27b	0909
@27c	080a
@27d	0a02
@27e	0003
@27f	000b
@280	0003
@281	020c
@282	000b
@283	0b05
@284	0902
@285	0909
@286	0b01
@287	0606
@288	0b0c
@289	0709
@28a	0c0b
@28b	0400
@28c	0c08
@28d	0700
@28e	0a07
@28f	0401
@290	0606
@291	0608
@292	0a00
@293	0603
@294	0400
@295	0300
@296	0203
@297	0300
@298	060b
@299	070c
@29a	0c0c
@29b	0a05
@29c	0c02
@29d	060a
@29e	0208
@29f	0005
@2a0	0b08
@2a1	0008
@2a2	0708
@2a3	FFFF
